2026-08-02 01:40:19 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig_family_A4_H4.csv
2026-08-02 01:40:19 | INFO     | co2_forecast | forecast atlas: fig_family_A4_H4.pdf (8 forecast points)
2026-08-02 01:40:20 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/forecasting/fig_family_B4_H1.pdf
2026-08-02 01:40:20 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig_family_B4_H1.csv
2026-08-02 01:40:20 | INFO     | co2_forecast | forecast atlas: fig_family_B4_H1.pdf (11 forecast points)
2026-08-02 01:40:20 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/forecasting/fig_family_B4_H2.pdf
2026-08-02 01:40:20 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig_family_B4_H2.csv
2026-08-02 01:40:20 | INFO     | co2_forecast | forecast atlas: fig_family_B4_H2.pdf (8 forecast points)
2026-08-02 01:40:20 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/forecasting/fig_family_B4_H4.pdf
2026-08-02 01:40:20 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig_family_B4_H4.csv
2026-08-02 01:40:20 | INFO     | co2_forecast | forecast atlas: fig_family_B4_H4.pdf (8 forecast points)
2026-08-02 01:40:21 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/forecasting/fig_best_a_forecast_H1.pdf
2026-08-02 01:40:21 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig_best_a_forecast_H1.csv
2026-08-02 01:40:21 | INFO     | co2_forecast | forecast atlas: fig_best_a_forecast_H1.pdf (11 forecast points)
2026-08-02 01:40:21 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/forecasting/fig_best_a_forecast_H2.pdf
2026-08-02 01:40:21 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig_best_a_forecast_H2.csv
2026-08-02 01:40:21 | INFO     | co2_forecast | forecast atlas: fig_best_a_forecast_H2.pdf (8 forecast points)
2026-08-02 01:40:21 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/forecasting/fig_best_a_forecast_H4.pdf
2026-08-02 01:40:21 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig_best_a_forecast_H4.csv
2026-08-02 01:40:21 | INFO     | co2_forecast | forecast atlas: fig_best_a_forecast_H4.pdf (8 forecast points)
2026-08-02 01:40:22 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/forecasting/fig_best_b_forecast_H1.pdf
2026-08-02 01:40:22 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig_best_b_forecast_H1.csv
2026-08-02 01:40:22 | INFO     | co2_forecast | forecast atlas: fig_best_b_forecast_H1.pdf (11 forecast points)
2026-08-02 01:40:22 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/forecasting/fig_best_b_forecast_H2.pdf
2026-08-02 01:40:22 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig_best_b_forecast_H2.csv
2026-08-02 01:40:22 | INFO     | co2_forecast | forecast atlas: fig_best_b_forecast_H2.pdf (8 forecast points)
2026-08-02 01:40:23 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/forecasting/fig_best_b_forecast_H4.pdf
2026-08-02 01:40:23 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig_best_b_forecast_H4.csv
2026-08-02 01:40:23 | INFO     | co2_forecast | forecast atlas: fig_best_b_forecast_H4.pdf (8 forecast points)
