2026-08-01 16:21:30 | INFO     | co2_forecast | Saved figure: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/figs_smoke/fig18_best_A_target_derived_feature_sensitivity.pdf
2026-08-01 16:21:30 | INFO     | co2_forecast | Saved plot data: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/plot_data/fig18_best_A_target_derived_feature_sensitivity.csv
2026-08-01 16:21:30 | INFO     | co2_forecast | fig18: 3 variants
2026-08-01 16:21:30 | INFO     | co2_forecast | Saved figure: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/figs_smoke/fig15_best_B_cross_model_feature_importance.pdf
2026-08-01 16:21:30 | INFO     | co2_forecast | Saved plot data: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/plot_data/fig15_best_B_cross_model_feature_importance.csv
2026-08-01 16:21:30 | INFO     | co2_forecast | fig15: top 5 of 5 features
2026-08-01 16:21:30 | INFO     | co2_forecast | Saved figure: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/figs_smoke/fig17_best_B_regime_specific_importance.pdf
2026-08-01 16:21:30 | INFO     | co2_forecast | Saved plot data: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/plot_data/fig17_best_B_regime_specific_importance.csv
2026-08-01 16:21:30 | INFO     | co2_forecast | fig17: 5 features x 3 regimes
2026-08-01 16:21:31 | INFO     | co2_forecast | Saved figure: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/figs_smoke/fig18_best_B_target_derived_feature_sensitivity.pdf
2026-08-01 16:21:31 | INFO     | co2_forecast | Saved plot data: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/plot_data/fig18_best_B_target_derived_feature_sensitivity.csv
2026-08-01 16:21:31 | INFO     | co2_forecast | fig18: 2 variants
2026-08-01 16:21:31 | INFO     | co2_forecast | Saved figure: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/figs_smoke/fig15_best_overall_cross_model_feature_importance.pdf
2026-08-01 16:21:31 | INFO     | co2_forecast | Saved plot data: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/plot_data/fig15_best_overall_cross_model_feature_importance.csv
2026-08-01 16:21:31 | INFO     | co2_forecast | fig15: top 5 of 5 features
2026-08-01 16:21:31 | INFO     | co2_forecast | Saved figure: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/figs_smoke/fig17_best_overall_regime_specific_importance.pdf
2026-08-01 16:21:31 | INFO     | co2_forecast | Saved plot data: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/plot_data/fig17_best_overall_regime_specific_importance.csv
2026-08-01 16:21:31 | INFO     | co2_forecast | fig17: 5 features x 3 regimes
2026-08-01 16:21:31 | INFO     | co2_forecast | Saved figure: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/figs_smoke/fig18_best_overall_target_derived_feature_sensitivity.pdf
2026-08-01 16:21:31 | INFO     | co2_forecast | Saved plot data: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/plot_data/fig18_best_overall_target_derived_feature_sensitivity.csv
2026-08-01 16:21:31 | INFO     | co2_forecast | fig18: 2 variants
2026-08-01 16:21:31 | INFO     | co2_forecast | ============================================================
2026-08-01 16:21:31 | INFO     | co2_forecast | Script 14 complete! 25 figures generated: ['fig01', 'fig02', 'fig03', 'fig03a', 'fig11a', 'fig03b', 'fig03c', 'fig11b', 'fig03d', 'fig05', 'fig14a', 'fig14b', 'fig08_b1', 'fig08_b2', 'fig08_b3', 'fig08_b4', 'fig15_best_A', 'fig17_best_A', 'fig18_best_A', 'fig15_best_B', 'fig17_best_B', 'fig18_best_B', 'fig15_best_overall', 'fig17_best_overall', 'fig18_best_overall']
2026-08-01 16:21:31 | INFO     | co2_forecast |   Still requiring dedicated builder/CLI wiring (spec sections 25/27): the 36-PDF forecast atlas (family/stream/overall/A-vs-B out-of-sample forecasts - data already saved under fold_predictions/, builder not yet written), mobility/OWID/NESO data-quality figures, PSO convergence, forecast-error distributions, cross-model SHAP agreement.
2026-08-01 16:21:31 | INFO     | co2_forecast | ============================================================
2026-08-02 01:39:56 | INFO     | co2_forecast | Logging to: outputs/logs/generate_figures.log
2026-08-02 01:39:56 | INFO     | co2_forecast | ============================================================
2026-08-02 01:39:56 | INFO     | co2_forecast | Script 14: Generate PDF figures (source run_id=my_run)
2026-08-02 01:39:56 | INFO     | co2_forecast | ============================================================
2026-08-02 01:39:56 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig01_revised_qdecem_framework.pdf
2026-08-02 01:39:56 | INFO     | co2_forecast | fig01: 9 stages
2026-08-02 01:39:56 | INFO     | co2_forecast | Loaded feature registry: 37 candidate predictors from config/feature_registry.yaml
2026-08-02 01:39:58 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig02_predictor_governance_map.pdf
