model,weighted_mae,weighted_mase,worst_horizon_mase,stability_score,error_std,worst_fold_error,mae_h1,rmse_h1,mape_h1,smape_h1,mase_h1,r2_h1,mae_h2,rmse_h2,mape_h2,smape_h2,mase_h2,r2_h2,mae_h4,rmse_h4,mape_h4,smape_h4,mase_h4,r2_h4,configuration,panel,fs_option,n_features,n_folds,total_runtime_seconds
ridge,6396.138129268363,0.8803982273796316,0.9541202068530328,0.0009116613671688,1095.898515186048,7552.63599706483,6704.159887698208,7896.58868414495,6.646630749113987,6.452010416917463,0.9499066168516592,-0.0060722006535112,5303.29210512256,6655.317710741485,5.342960609462816,5.20099973313815,0.7154029252773182,0.2563545744759262,7265.352769412453,7920.968071118634,7.176202063239284,7.019410811623899,0.9541202068530328,0.1642108062797111,A1,panel2_common_period,fs_xgboost_shap,5,7,0.0050230026245117
random_forest,5286.635886361286,0.7307607799408982,0.8399108262731197,0.0005675707501181,1760.894882341618,7460.518668557201,5927.842138216254,6675.941256458999,5.821308221214889,5.637452436472321,0.8399108262731197,0.2809234473524048,5387.8500130312805,7434.498735324641,5.299387179606567,5.099997499259461,0.7268096088003315,0.0720347583178019,3531.7990667188715,3903.7909937869895,3.441674888024868,3.41744074071102,0.4638124208211943,0.7969919115298599,A1,panel2_common_period,fs_xgboost_shap,5,7,2.3024697303771973
lightgbm,6831.266304988025,0.946013974226548,1.1757769893995418,0.0003576410324211,2795.099746246148,11668.99934236086,8298.286157155955,9397.690881424824,7.992465420930013,7.866010772216822,1.1757769893995418,-0.4249263773170064,5500.647544937041,6233.191228677309,5.335708437293671,5.315794937179014,0.7420257580694802,0.3476972232215287,5159.644814644673,6580.884816446834,4.943697402462316,5.006335219754346,0.6775887605296651,0.4230890191530725,A1,panel2_common_period,fs_xgboost_shap,5,7,0.3168885707855224
catboost,4965.9246453893065,0.6867493142637012,0.8332782531326032,0.0007033289604612,1420.8097877616017,7835.45987263366,5881.031399126709,6504.559023637494,5.723480986805334,5.599214685971541,0.8332782531326032,0.3173692740674133,3847.1423697846094,5029.861793957808,3.808311767769831,3.7663218061475376,0.5189713956438042,0.5752431125701272,4356.331174452842,5036.232195278174,4.265751134377309,4.210135749800232,0.5720938450212918,0.6621283782738949,A1,panel2_common_period,fs_xgboost_shap,5,7,95.9117350578308
lstm,7481.134279119291,1.0282831083596795,1.0737372969743706,0.0010627395789946,939.964296206956,8994.148958333293,7343.841761363607,8089.623916294979,7.143249063582403,7.054095000902515,1.040542588345987,-0.0558610719689502,7246.5761718749745,7952.474730903787,7.190745657887085,7.049560792222431,0.9775478493060412,-0.0617760407792282,8176.202734374976,8766.395033327275,7.864258363834577,7.88159930656866,1.0737372969743706,-0.0237226220855397,A1,panel2_common_period,fs_xgboost_shap,5,7,2.513758897781372
ridge,8094.193161233713,1.1155946709737063,1.2112008228827635,0.0010668049224235,936.3785018991014,9608.061091720689,8548.297094329797,10315.481962727788,8.613906995708112,8.131796540677486,1.2112008228827635,-0.7168373886133939,7769.020238587418,9860.994070971858,7.960080899571301,7.522961148623533,1.0480244525576026,-0.6325621405604891,7446.692712462944,8133.410896715946,7.410614073990315,7.185456934231136,0.9779346188252188,0.1187773469172203,A1,panel2_common_period,fs_permutation_stability,5,7,0.0047810077667236
random_forest,7512.226845862346,1.032261565833856,1.0755073283571246,0.0013653872639164,731.3929455234763,8297.887035262822,7283.10704684584,8607.671245524007,7.266281931498962,6.992105996721719,1.031937139168248,-0.1954225878574831,7442.457063043821,9100.058514831548,7.589471528494052,7.230727921923358,1.003971768594357,-0.3903261631061447,8189.681017631396,9025.800407795688,8.08548538794181,7.8931100363306275,1.0755073283571246,-0.0852047282537502,A1,panel2_common_period,fs_permutation_stability,5,7,0.9204435348510742
lightgbm,7575.277524240935,1.0410666416960128,1.0797733416780904,0.0013260709215888,753.1074792604932,8362.855980419234,7378.1962552509185,8797.546843509619,7.369279316455691,7.080086945372324,1.0454102468757347,-0.2487436434639114,7472.487661911851,9236.739545301603,7.634287076279603,7.258370331844283,1.0080228330750909,-0.4324046458891097,8222.165490209602,9057.777002368848,8.131098431271788,7.923519474072631,1.0797733416780904,-0.0929076730680074,A1,panel2_common_period,fs_permutation_stability,5,7,0.0432620048522949
catboost,8524.627047667913,1.1752559814861314,1.2914929090011102,0.0010224941890112,977.000668118258,9796.005776418157,9114.974885077612,10748.787278982743,9.158560592264626,8.63533695473949,1.2914929090011102,-0.8640993326228341,7953.787543808929,10319.426950020204,8.185674476991371,7.693150807934425,1.0729491725298246,-0.7878846169327243,7905.016709932137,8748.398560518086,7.897478900648277,7.624301793975167,1.0381238761331446,-0.0195237499995888,A1,panel2_common_period,fs_permutation_stability,5,7,16.74435257911682
lstm,7491.560504261336,1.029665927569141,1.0740254674631329,0.0010917271051155,914.9798225346152,8925.094270833293,7337.336789772698,8063.341153875499,7.138315276629162,7.047676054616635,1.039620904546653,-0.0490113431538499,7290.7089843749745,8012.693702989618,7.24588452628908,7.091620303664267,0.9835012726772936,-0.0779172166046791,8178.397070312476,8769.406377847901,7.87359639006045,7.883804217884169,1.0740254674631329,-0.0244260608377526,A1,panel2_common_period,fs_permutation_stability,5,7,1.4421637058258057
ridge,6548.069535336044,0.901615364421449,0.9800067442487074,0.0009490344900596,1052.702484445153,7970.35926544532,6916.597682245553,8255.318462903891,6.895712996346775,6.650994264785136,0.9800067442487074,-0.0995570760669299,5456.182332699453,6936.980787383028,5.518826627491446,5.353305351117164,0.7360274946743486,0.1920782332246139,7264.579972017156,7855.773464242895,7.195311260129886,7.021146313602572,0.9540187194739532,0.1779123407572206,A1,panel2_common_period,fs_consensus,10,7,0.0053155422210693
random_forest,5350.994101159373,0.7403748449916785,0.8784559789776879,0.0005849640767213,1708.506685615312,7225.840996789077,6199.8824230640885,7471.669006953969,6.048069088798391,5.795268684284392,0.8784559789776879,0.0992892136150102,5156.935860214837,7121.685002504658,5.096616812551385,4.890975975914447,0.6956597763682748,0.1484819727316566,3519.86065781439,3886.4938052883776,3.445508898999826,3.4120922899433235,0.462244612961761,0.7987869306524181,A1,panel2_common_period,fs_consensus,10,7,2.227019786834717
lightgbm,5511.743729441693,0.7610224286063254,0.8538128944821005,0.0003728027922414,2681.3833426450115,9276.791966358112,6025.958822940062,8571.87339541367,5.955020931698456,5.666065191427321,0.8538128944821005,-0.185500142677782,5565.998674041884,7071.469345536687,5.317502395244853,5.439052358996407,0.7508414876210585,0.1604479011395289,4144.823578795482,5998.9035329396975,3.990565907924579,4.098441106119639,0.5443176753947881,0.5206155056621784,A1,panel2_common_period,fs_consensus,10,7,0.1567723751068115
catboost,4673.86955533271,0.6430852416134413,0.7003071520841989,0.0010329153577046,967.1335382815616,6448.635664575714,4578.307428251463,6367.703939572211,4.493856111016367,4.313243557680949,0.6486964202714341,0.345792014805802,5191.386922788064,6356.078224936948,5.100676733506559,5.044095886476213,0.7003071520841989,0.3217234656052884,4136.498821852796,4536.687499534114,4.019952986129098,3.987141671329431,0.5432244292623228,0.7258312475301179,A1,panel2_common_period,fs_consensus,10,7,133.8602843284607
lstm,7416.481873224411,1.019098571801847,1.0642992325420215,0.0012539555294091,796.4764467693632,8349.04218749996,7192.345738636348,8196.842623031094,7.092869279361776,6.908909873419537,1.0190772478967838,-0.084035009703516,7331.473632812474,8661.220391787596,7.42258283495163,7.127990766925017,0.989000337816836,-0.2594661653544321,8104.334570312476,8771.509967970203,7.9489307322300276,7.812928995182891,1.0642992325420215,-0.0249175949086577,A1,panel2_common_period,fs_consensus,10,7,2.9661319255828857
ridge,6587.042116833835,0.9065030631222744,0.9429557649960064,0.0010894569629103,916.8884839366584,7780.09407446914,6655.102831594684,7812.198321278669,6.668855589215656,6.40157147009393,0.9429557649960064,0.0153165599725622,6505.438433228708,7538.237236356113,6.578752025778448,6.318293799162958,0.8775699307318763,0.0459570477863348,6539.295855339404,7026.085095024078,6.479452757145728,6.331232813970636,0.858771007023542,0.3423920770296619,A2,panel2_common_period,fs_linear,11,7,0.0055363178253173
random_forest,7262.946641063863,1.0044665022238193,1.2158218908662597,0.0004612045932657,2167.235127319641,10937.176346461702,8580.911225091366,9611.84946109456,8.345272949846326,7.92409916756947,1.2158218908662597,-0.4906100167042369,5778.28413130821,7503.868954242035,5.477716748263486,5.592511282161093,0.7794783482939731,0.0546365496443113,6195.028945628588,6522.162007950825,6.004169222333576,5.974261942376471,0.8135602615124881,0.4333389122864503,A2,panel2_common_period,fs_linear,11,7,1.5171847343444824
lightgbm,9904.719080768376,1.359053440476122,1.6431132005500797,0.0002899679192852,3447.6573634248603,15820.504115493262,9385.373809580808,11275.593745306707,9.094940159715836,8.52423579996841,1.3298054987778654,-1.0512989356747386,9032.215545743642,10649.307494999264,8.729741744124814,8.738716801111027,1.2184268365905784,-0.9040180457261792,12511.837561274404,14920.121651900166,12.294188632075947,11.326662336803295,1.6431132005500797,-1.9654114128802376,A2,panel2_common_period,fs_linear,11,7,0.1963086128234863
