2026-09-17 22:24:03 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-09-17 22:24:03 | WARNING  | co2_forecast | Very few sequences (8), LSTM may not train well
2026-09-17 22:24:03 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-09-17 22:24:03 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-09-17 22:24:03 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-09-17 22:24:03 | WARNING  | co2_forecast | Very few sequences (8), LSTM may not train well
2026-09-17 22:24:04 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-09-17 22:24:04 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-09-17 22:24:04 | WARNING  | co2_forecast | Model training failed with params {'lookback': 7, 'hidden_size': 33, 'num_layers': 1, 'dropout': 0.3174646446740698, 'learning_rate': 0.004142028037008456, 'batch_size': 16}: LSTM.fit: training data has 8 rows, giving only 1 sequence(s) with lookback=7; at least 2 are required (one is always reserved for validation). Reduce lookback or provide more training history.
2026-09-17 22:24:04 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-09-17 22:24:04 | WARNING  | co2_forecast | Very few sequences (7), LSTM may not train well
2026-09-17 22:24:04 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-09-17 22:24:04 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-09-17 22:24:04 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-09-17 22:24:04 | WARNING  | co2_forecast | Very few sequences (8), LSTM may not train well
2026-09-17 22:24:04 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-09-17 22:24:04 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-09-17 22:24:04 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-09-17 22:24:04 | WARNING  | co2_forecast | Very few sequences (8), LSTM may not train well
2026-09-17 22:24:04 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-09-17 22:24:05 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-09-17 22:24:05 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-09-17 22:24:05 | WARNING  | co2_forecast | Very few sequences (7), LSTM may not train well
