2026-02-14 13:20:19 | INFO     | co2_forecast |   fs_linear: 9 features
2026-02-14 13:20:19 | INFO     | co2_forecast |   fs_nonlinear: 3 features
2026-02-14 13:20:19 | INFO     | co2_forecast |   fs_consensus: 3 features
2026-02-14 13:20:19 | INFO     | co2_forecast |   fs_filter: 21 features
2026-02-14 13:20:19 | INFO     | co2_forecast |   fs_wrapper: 13 features
2026-02-14 13:20:19 | INFO     | co2_forecast |   fs_embedded: 21 features
2026-02-14 13:20:19 | INFO     | co2_forecast |   fs_hybrid: 22 features
2026-02-14 13:20:19 | INFO     | co2_forecast | Results saved to: outputs\runs\run_20260214_1319\tables
2026-02-14 13:20:19 | INFO     | co2_forecast | ============================================================
2026-02-14 13:21:00 | INFO     | co2_forecast | Logging to: outputs\runs\run_20260214_1319\logs\run_20260214_1319.log
2026-02-14 13:21:00 | INFO     | co2_forecast | ============================================================
2026-02-14 13:21:00 | INFO     | co2_forecast | Script 02: Evaluate FS with SHAP + MCDA
2026-02-14 13:21:00 | INFO     | co2_forecast | ============================================================
2026-02-14 13:21:00 | INFO     | co2_forecast | Loading data and FS results...
2026-02-14 13:21:00 | INFO     | co2_forecast | ----------------------------------------
2026-02-14 13:21:00 | INFO     | co2_forecast | Evaluating FS options with SHAP...
2026-02-14 13:21:00 | INFO     | co2_forecast | Creating FS evaluation matrix...
2026-02-14 13:21:00 | INFO     | co2_forecast | Evaluating FS option: fs_linear (9 features)
2026-02-14 13:21:00 | WARNING  | co2_forecast | LightGBM not available, using CatBoost
2026-02-14 13:21:33 | INFO     | co2_forecast | Logging to: outputs\runs\run_20260214_1319\logs\run_20260214_1319.log
2026-02-14 13:21:33 | INFO     | co2_forecast | ============================================================
2026-02-14 13:21:33 | INFO     | co2_forecast | Script 03: Optimize Models (Multi-FS Support)
2026-02-14 13:21:33 | INFO     | co2_forecast | ============================================================
2026-02-14 13:21:33 | INFO     | co2_forecast | Models to optimize: ['ridge', 'random_forest', 'catboost', 'lightgbm', 'lstm']
2026-02-14 13:21:33 | INFO     | co2_forecast | Optimizer: pso
2026-02-14 13:21:33 | INFO     | co2_forecast | Loading data...
2026-02-14 13:21:33 | ERROR    | co2_forecast | Selected feature set not found. Run 02_eval_fs_shap_mcda.py first.
2026-02-14 13:21:53 | INFO     | co2_forecast | Logging to: outputs\runs\run_20260214_1319\logs\run_20260214_1319.log
2026-02-14 13:21:53 | INFO     | co2_forecast | ============================================================
2026-02-14 13:21:53 | INFO     | co2_forecast | Script 04: Evaluate Models and Apply Safeguards (Multi-FS)
2026-02-14 13:21:53 | INFO     | co2_forecast | ============================================================
2026-02-14 13:21:53 | INFO     | co2_forecast | Loading data...
2026-02-14 13:21:53 | ERROR    | co2_forecast | No FS results found. Run previous scripts first.
2026-02-14 13:22:10 | INFO     | co2_forecast | Logging to: outputs\runs\run_20260214_1319\logs\run_20260214_1319.log
2026-02-14 13:22:10 | INFO     | co2_forecast | ============================================================
2026-02-14 13:22:10 | INFO     | co2_forecast | Script 05: Select Best Model with Pareto + MCDA (Multi-FS)
2026-02-14 13:22:10 | INFO     | co2_forecast | ============================================================
2026-02-14 13:22:10 | INFO     | co2_forecast | Loading evaluation results...
2026-02-14 13:22:10 | ERROR    | co2_forecast | Quarterly metrics not found. Run 04_evaluate_and_safeguards.py first.
2026-02-14 13:22:48 | INFO     | co2_forecast | Logging to: outputs\runs\run_20260214_1319\logs\run_20260214_1319.log
2026-02-14 13:22:48 | INFO     | co2_forecast | ============================================================
2026-02-14 13:22:48 | INFO     | co2_forecast | Script 06: Interpret Champion Model
2026-02-14 13:22:48 | INFO     | co2_forecast | ============================================================
2026-02-14 13:22:48 | ERROR    | co2_forecast | Champion pipeline not found. Run 05_select_best_model.py first.
2026-03-26 10:11:49 | INFO     | co2_forecast | Logging to: outputs\runs\run_20260214_1319\logs\run_20260214_1319.log
2026-03-26 10:11:49 | INFO     | co2_forecast | ============================================================
2026-03-26 10:11:49 | INFO     | co2_forecast | Script 06: Interpret Champion Model
2026-03-26 10:11:49 | INFO     | co2_forecast | ============================================================
2026-03-26 10:11:49 | ERROR    | co2_forecast | Champion pipeline not found. Run 05_select_best_model.py first.
2026-03-26 10:14:42 | INFO     | co2_forecast | Logging to: outputs\runs\run_20260214_1319\logs\run_20260214_1319.log
2026-03-26 10:14:42 | INFO     | co2_forecast | ============================================================
2026-03-26 10:14:42 | INFO     | co2_forecast | Script 06: Interpret Champion Model
2026-03-26 10:14:42 | INFO     | co2_forecast | ============================================================
2026-03-26 10:14:42 | ERROR    | co2_forecast | Champion pipeline not found. Run 05_select_best_model.py first.
2026-03-26 10:19:51 | INFO     | co2_forecast | Logging to: outputs\runs\run_20260214_1319\logs\run_20260214_1319.log
2026-03-26 10:19:51 | INFO     | co2_forecast | ============================================================
2026-03-26 10:19:51 | INFO     | co2_forecast | Script 05: Select Best Model with Pareto + MCDA (Multi-FS)
2026-03-26 10:19:51 | INFO     | co2_forecast | ============================================================
2026-03-26 10:19:51 | INFO     | co2_forecast | Loading evaluation results...
2026-03-26 10:19:51 | ERROR    | co2_forecast | Quarterly metrics not found. Run 04_evaluate_and_safeguards.py first.
