regime,n_observations,feature,mean_abs_shap,median_abs_shap,signed_mean_shap,share_of_total_attribution,family,rank
covid,8,Grid_CI_high_share,0.0031575144501589094,0.003365531858750756,0.0008853474443615094,0.0158994663308135,grid_carbon_intensity,13
covid,8,Rainfall,0.0016478663613752223,0.0015406046126775806,0.0004407570058288699,0.008297727894498444,weather,14
covid,8,Mobility_Retail_Recreation,0.001232649310985876,0.0010765863490510696,-0.0009963082090751578,0.006206928432816532,mobility,15
covid,8,OWID_RenewableShare_L1Y,0.0008002095035315803,0.0005318647504355771,0.0005342771283137918,0.004029404856201699,annual_transition,16
covid,8,Grid_fossil_share,0.0006330123312957409,0.0005162224645469367,-0.0003016215673100811,0.003187493963145559,grid_generation_mix,17
covid,8,Mobility_Parks,0.0005795445308601326,0.0006348605463032267,-0.0003847430118476878,0.0029182602015183317,mobility,18
covid,8,Grid_gas_share,2.176840947097019e-05,2.176840947097019e-05,5.023479108685428e-06,0.0001096134630331252,grid_generation_mix,19
covid,8,Mobility_Residential,4.695698396172386e-06,6.250080360936555e-06,-3.654018336016293e-06,2.3644895289660637e-05,mobility,20
covid,8,Mobility_Transit_Stations,0.0,0.0,0.0,0.0,mobility,21
covid,8,Mobility_Grocery_Pharmacy,0.0,0.0,0.0,0.0,mobility,21
covid,8,OWID_LowCarbonShare_L1Y,0.0,0.0,0.0,0.0,annual_transition,21
post_covid,13,Grid_CI_std,0.0656762955995671,0.066416847425257,0.008513535215408187,0.3617868159417103,grid_carbon_intensity,1
post_covid,13,Grid_CI_mean,0.021767658649181884,0.0189329370606006,-0.016370574061780177,0.11991011127073149,grid_carbon_intensity,2
post_covid,13,COVID_Deaths,0.014468940140797306,0.014206696756001197,-0.0003410789276789777,0.07970412666856871,shock_health,3
post_covid,13,Grid_CI_p90,0.012873736081738592,0.012563288836337543,-0.012177391577007202,0.07091672792697544,grid_carbon_intensity,4
post_covid,13,Population,0.012521255932351906,0.012518052745271114,-0.012521255932351906,0.06897504303495927,macroeconomic,5
post_covid,13,Air_Temp,0.012499755243681226,0.012053451902280781,-0.0003040956008947007,0.06885660356416229,weather,6
post_covid,13,GDP,0.010752427763189075,0.010797149956836607,0.007185474965593013,0.05923121224445342,macroeconomic,7
post_covid,13,Grid_CI_low_share,0.005081948435274455,0.006908279958688173,-0.000924407362190126,0.027994604847810883,grid_carbon_intensity,8
post_covid,13,Grid_renewable_share,0.004650343177051295,0.004172965133836908,-0.004650343177051295,0.025617048521121746,grid_generation_mix,9
post_covid,13,Grid_wind_share,0.0046160499015111345,0.004597954947370403,0.0046160499015111345,0.02542813934388173,grid_generation_mix,10
post_covid,13,Mobility_Workplaces,0.00427329730647767,0.0048926558485870505,0.00427329730647767,0.023540040009397755,mobility,11
post_covid,13,Grid_low_carbon_share,0.0037360647346681816,0.0031231265385205874,-0.0016356593973900389,0.02058062124497505,grid_generation_mix,12
post_covid,13,Grid_CI_high_share,0.0029357250936387835,0.003232136040825526,-0.00018027858866352705,0.016171841368512806,grid_carbon_intensity,13
post_covid,13,OWID_RenewableShare_L1Y,0.001719269958800459,0.0016853228739745407,0.00010508356819672995,0.009470832641522391,annual_transition,14
post_covid,13,Grid_fossil_share,0.0015096911257634973,0.0015624521318952282,-0.0002990650955579406,0.008316339106206105,grid_generation_mix,15
post_covid,13,Rainfall,0.0013435340858348617,0.001097690895459244,-0.00030227884561003795,0.00740104042997448,weather,16
post_covid,13,Mobility_Retail_Recreation,0.0007971478634357108,0.0008119518940939304,0.00035540471319319734,0.004391197535036432,mobility,17
post_covid,13,Mobility_Parks,0.0002971089114860414,0.000245370157745626,5.951382589531154e-05,0.0016366648894118028,mobility,18
post_covid,13,Grid_gas_share,1.1850258410232292e-05,1.0046958217370856e-05,5.152286265318386e-06,6.527876183005476e-05,grid_generation_mix,19
post_covid,13,Mobility_Residential,1.0366719829438037e-06,7.161550413573134e-07,7.061388869327357e-07,5.710648757840262e-06,mobility,20
post_covid,13,Mobility_Transit_Stations,0.0,0.0,0.0,0.0,mobility,21
post_covid,13,Mobility_Grocery_Pharmacy,0.0,0.0,0.0,0.0,mobility,21
post_covid,13,OWID_LowCarbonShare_L1Y,0.0,0.0,0.0,0.0,annual_transition,21
