2026-08-01 16:32:40 | INFO     | co2_forecast | ----------------------------------------
2026-08-01 16:32:40 | INFO     | co2_forecast | Step 3: Cleaning data...
2026-08-01 16:32:40 | INFO     | co2_forecast | Cleaning complete. Shape: (105, 8)
2026-08-01 16:32:40 | INFO     | co2_forecast | Cleaned data: 105 rows, 8 columns
2026-08-01 16:32:40 | INFO     | co2_forecast | ----------------------------------------
2026-08-01 16:32:40 | INFO     | co2_forecast | Step 4: Feature engineering...
2026-08-01 16:32:40 | INFO     | co2_forecast | Starting feature engineering...
2026-08-01 16:32:40 | INFO     | co2_forecast | Applied log transform to target. Range: 11.3635 to 12.1308
2026-08-01 16:32:40 | INFO     | co2_forecast | Dropped removed raw columns per spec section 2: ['TEC', 'CEI']
2026-08-01 16:32:40 | INFO     | co2_forecast | Created 4 lag features
2026-08-01 16:32:40 | INFO     | co2_forecast | Created 2 rate-of-change features
2026-08-01 16:32:40 | INFO     | co2_forecast | Created 2 rate-of-change features
2026-08-01 16:32:40 | INFO     | co2_forecast | Created 1 intensity features (numerator and denominator both lagged by 1 quarter(s))
2026-08-01 16:32:40 | INFO     | co2_forecast | Created 1 intensity features
2026-08-01 16:32:40 | INFO     | co2_forecast | Created 2 weather features
2026-08-01 16:32:40 | INFO     | co2_forecast | Created 2 weather features
2026-08-01 16:32:40 | INFO     | co2_forecast | Created quarter dummy features (Q2, Q3, Q4)
2026-08-01 16:32:40 | INFO     | co2_forecast | Created COVID dummy (2020Q1 to 2021Q4)
2026-08-01 16:32:40 | INFO     | co2_forecast | Created Energy Crisis dummy (2022Q1 to 2023Q4)
2026-08-01 16:32:40 | INFO     | co2_forecast | Loaded feature registry: 37 candidate predictors from config/feature_registry.yaml
2026-08-01 16:32:40 | INFO     | co2_forecast | Feature registry governance enforced: all 19 X columns are known and retained_after_audit (overrides: none)
2026-08-01 16:32:40 | INFO     | co2_forecast | Feature engineering complete. Total features: 19
2026-08-01 16:32:40 | INFO     | co2_forecast | Features: 19 columns, 101 valid rows
2026-08-01 16:32:40 | INFO     | co2_forecast | ----------------------------------------
2026-08-01 16:32:40 | INFO     | co2_forecast | Step 4b: Building A1-A4 configuration matrices...
2026-08-01 16:32:40 | INFO     | co2_forecast | Loaded feature registry: 37 candidate predictors from config/feature_registry.yaml
2026-08-01 16:32:40 | INFO     | co2_forecast | Exported registry to metadata/feature_registry.csv (spec section 15)
2026-08-01 16:32:40 | INFO     | co2_forecast | Aggregating cached mobility data from data/raw/mobility...
2026-08-01 16:32:40 | INFO     | co2_forecast | Aggregated mobility data to 10 quarters (min_completeness=0.8, primary_cutoff=2022Q3); 2 quarter(s) excluded
2026-08-01 16:32:40 | INFO     | co2_forecast | Mobility quarterly features: 10 quarter(s) with genuine reporting-window data, 91 quarter(s) neutral-zeroed outside the window
2026-08-01 16:32:40 | INFO     | co2_forecast | Aggregating cached grid data from data/raw/grid_cache...
2026-08-01 16:32:46 | INFO     | co2_forecast | Loaded 150257 half-hourly grid intervals from data/raw/grid_cache (2017-12-31 23:30:00+00:00 to 2026-08-01 01:00:00+00:00)
2026-08-01 16:32:46 | INFO     | co2_forecast | Aggregated grid data to 34 quarters (min_completeness=0.95); 2 quarter(s) excluded for incompleteness
2026-08-01 16:32:46 | INFO     | co2_forecast | Grid quarterly features: 34 quarters [2018-01-01 00:00:00 - 2026-04-01 00:00:00], 2 quarter(s) excluded for incompleteness
2026-08-01 16:32:46 | INFO     | co2_forecast | OWID one-year-lagged shares merged into grid block (68 non-NaN cells across 2 columns)
2026-08-01 16:32:46 | INFO     | co2_forecast | Mobility features merged into all four configurations (A1: 11 cols)
2026-08-01 16:32:46 | WARNING  | co2_forecast | A3: dropped 1 quarter(s) with partially-missing grid features after merge (e.g. a generation-mix sub-field fully absent for that quarter despite passing the overall completeness check)
2026-08-01 16:32:46 | WARNING  | co2_forecast | A4: dropped 1 quarter(s) with partially-missing grid features after merge (e.g. a generation-mix sub-field fully absent for that quarter despite passing the overall completeness check)
2026-08-01 16:32:46 | INFO     | co2_forecast | Grid features merged into A3 (23 cols) and A4 (37 cols) over 28 common quarters
2026-08-01 16:32:46 | INFO     | co2_forecast | Configuration A1: 11 features, 101 rows
2026-08-01 16:32:46 | INFO     | co2_forecast | Configuration A2: 25 features, 101 rows
2026-08-01 16:32:46 | INFO     | co2_forecast | Configuration A3: 23 features, 28 rows
2026-08-01 16:32:46 | INFO     | co2_forecast | Configuration A4: 37 features, 28 rows
2026-08-01 16:32:46 | INFO     | co2_forecast |   A1: 11 features (raw=11, engineered=0, grid=0, nominal_max=11)
2026-08-01 16:32:46 | INFO     | co2_forecast |   A2: 25 features (raw=11, engineered=14, grid=0, nominal_max=25)
2026-08-01 16:32:46 | INFO     | co2_forecast |   A3: 23 features (raw=11, engineered=0, grid=12, nominal_max=None)
2026-08-01 16:32:46 | INFO     | co2_forecast |   A4: 37 features (raw=11, engineered=14, grid=12, nominal_max=None)
2026-08-01 16:32:46 | INFO     | co2_forecast | ----------------------------------------
2026-08-01 16:32:46 | INFO     | co2_forecast | Step 5: Creating walk-forward CV splits (sensitivity-only: full period, A1/A2)...
2026-08-01 16:32:46 | INFO     | co2_forecast | Creating walk-forward splits for 101 valid samples
2026-08-01 16:32:46 | INFO     | co2_forecast | Created 44 CV folds across horizons [1, 2, 4]
2026-08-01 16:32:46 | INFO     | co2_forecast | Created 44 CV folds (sensitivity-only)
2026-08-01 16:32:46 | INFO     | co2_forecast | Creating walk-forward splits for 28 valid samples
2026-08-01 16:32:46 | INFO     | co2_forecast | Created 7 CV folds across horizons [1, 2, 4]
2026-08-01 16:32:46 | INFO     | co2_forecast | Built Panel 2 (common period) CV plan: 7 folds over 28 quarters [2018-04-01 00:00:00 - 2025-01-01 00:00:00]
2026-08-01 16:32:46 | INFO     | co2_forecast | PRIMARY common-period CV plan: 7 folds
2026-08-01 16:32:46 | INFO     | co2_forecast | ============================================================
2026-08-01 16:32:46 | INFO     | co2_forecast | Dataset creation complete!
2026-08-01 16:32:46 | INFO     | co2_forecast |   Raw data: 105 rows
2026-08-01 16:32:46 | INFO     | co2_forecast |   Clean data: 105 rows
2026-08-01 16:32:46 | INFO     | co2_forecast |   Features: 19 columns
2026-08-01 16:32:46 | INFO     | co2_forecast |   Valid samples: 101
2026-08-01 16:32:46 | INFO     | co2_forecast |   CV folds: 44
2026-08-01 16:32:46 | INFO     | co2_forecast |   Outputs saved to: outputs/runs/my_run
2026-08-01 16:32:46 | INFO     | co2_forecast | ============================================================
2026-08-01 16:32:50 | INFO     | co2_forecast | Logging to: outputs/runs/my_run/logs/my_run.log
2026-08-01 16:32:50 | INFO     | co2_forecast | ============================================================
2026-08-01 16:32:50 | INFO     | co2_forecast | Script 10: Stream A / Stream B experimental grid
2026-08-01 16:32:50 | INFO     | co2_forecast | ============================================================
2026-08-01 16:32:50 | INFO     | co2_forecast | Models: ['ridge', 'random_forest', 'lightgbm', 'catboost', 'lstm']
2026-08-01 16:32:50 | INFO     | co2_forecast | seed: 42
2026-08-01 16:32:50 | INFO     | co2_forecast | nested_retuning: False
2026-08-01 16:32:50 | INFO     | co2_forecast | Slicing all configurations to the primary common period [2018-04-01 00:00:00 - 2025-01-01 00:00:00] (reference: A3)
2026-08-01 16:32:50 | INFO     | co2_forecast | ============================================================
2026-08-01 16:32:50 | INFO     | co2_forecast | Naive reference baselines (naive_lag1, naive_lag4) - not part of Stream A/B counts
2026-08-01 16:32:50 | INFO     | co2_forecast | ============================================================
