comparison,alternative,baseline,panel,model,fs_option,horizon,mae_alternative,mae_baseline,absolute_error_change,percentage_improvement,ci_low,ci_high,dm_statistic,dm_p_value,n_pairs,dm_p_value_bh
A3-A1,A3,A1,panel2_common_period,catboost,all_features,1,4709.747339842081,4777.08342484856,-67.33608500647915,1.409564770341305,-2124.013378100772,2072.630666034452,-0.0590956983543229,0.9540401614575944,11,0.9775297036541042
A3-A1,A3,A1,panel2_common_period,catboost,all_features,2,4349.3270158585765,4122.803425909307,226.52358994926908,-5.494406755502975,-1752.174329182036,2195.8148496348053,0.1795671533922777,0.8625797184145565,8,0.9775297036541042
A3-A1,A3,A1,panel2_common_period,catboost,all_features,4,4307.369873017531,4726.147869339131,-418.7779963215999,8.860873758064592,-2598.72731764147,2147.7510321473137,-0.5574479290905239,0.5945899427265151,8,0.9775297036541042
A3-A1,A3,A1,panel2_common_period,lightgbm,all_features,1,2655.6686873421963,6025.958822940062,-3370.290135597866,55.92952482130475,-6116.3724378646175,-1052.6272857784763,-2.4214124956158414,0.0359746204168036,11,0.3768162755708395
A3-A1,A3,A1,panel2_common_period,lightgbm,all_features,2,4263.28872199971,5565.998674041884,-1302.7099520421743,23.404783729425148,-3383.63895656918,633.7109711544674,-2.4870691883516587,0.0417754323419088,8,0.3768162755708395
A3-A1,A3,A1,panel2_common_period,lightgbm,all_features,4,3557.5838082828777,4144.823578795482,-587.2397705126041,14.168028128310844,-5054.767718197697,3032.1322307571245,,,8,
A3-A1,A3,A1,panel2_common_period,lstm,all_features,1,7209.483096590879,7200.182670454516,9.300426136363969,-0.129169308086136,-579.0578480113637,587.8491477272719,0.0288784986570866,0.9775297036541042,11,0.9775297036541042
A3-A1,A3,A1,panel2_common_period,lstm,all_features,2,7209.6210937499745,7338.7421874999745,-129.12109375,1.7594444722411833,-567.5512695312499,292.9169921874998,-0.3848074227716277,0.7118045109442352,8,0.9775297036541042
A3-A1,A3,A1,panel2_common_period,lstm,all_features,4,8203.761328124976,8110.137304687476,93.6240234375,-1.1544073783237607,-102.20051269531244,306.9340332031249,0.5249884324018586,0.6158027133763655,8,0.9775297036541042
A3-A1,A3,A1,panel2_common_period,random_forest,all_features,1,4899.7018472109285,6006.79590968602,-1107.094062475091,18.430692154695823,-3291.889065905442,774.8864290594654,-0.9812900691505472,0.3495939738063358,11,0.9775297036541042
A3-A1,A3,A1,panel2_common_period,random_forest,all_features,2,5313.438244041332,5721.5992510629785,-408.1610070216466,7.133687437927727,-4414.057860428322,2719.8551759637794,-0.2965941387606062,0.7753832939290486,8,0.9775297036541042
A3-A1,A3,A1,panel2_common_period,random_forest,all_features,4,4613.769326256934,3426.8401512734763,1186.9291749834574,-34.63625738546261,-1234.8951670873037,4334.953117876081,1.0659006421951207,0.3218464732771358,8,0.9775297036541042
A3-A1,A3,A1,panel2_common_period,ridge,all_features,1,7020.546106557269,6953.423050624446,67.12305593282326,-0.9653239195160912,-2650.8066728321865,2866.7416965604834,0.0462884070542615,0.9639917296341864,11,0.9775297036541042
A3-A1,A3,A1,panel2_common_period,ridge,all_features,2,4254.897314766353,5478.375399039043,-1223.4780842726905,22.332863215019906,-2814.105570488806,323.63359168182853,-1.0735690313047337,0.3186242487631858,8,0.9775297036541042
A3-A1,A3,A1,panel2_common_period,ridge,all_features,4,6464.494917194084,7266.512449231992,-802.0175320379076,11.037172751595216,-1751.961538616379,129.9505279868499,-0.7642878545396843,0.4696700816561203,8,0.9775297036541042
A4-A2,A4,A2,panel2_common_period,catboost,all_features,1,5073.843714749245,5198.105454267555,-124.2617395183097,2.3905197886336254,-1234.1864960048276,1026.8805409740194,-0.196304777452706,0.8483035570629203,11,0.9775297036541042
A4-A2,A4,A2,panel2_common_period,catboost,all_features,2,3821.140777499151,5257.933467476905,-1436.792689977754,27.326186207282294,-3289.316259675099,356.3517492341107,-4.509188723270578,0.0027677083337167,8,0.1494562500207048
A4-A2,A4,A2,panel2_common_period,catboost,all_features,4,3830.814187263177,5377.185845624828,-1546.3716583616515,28.75801028189985,-4336.694568665633,1069.553642437872,-2.309895837431193,0.0541951110201655,8,0.3973143558743586
A4-A2,A4,A2,panel2_common_period,lightgbm,all_features,1,5580.795346548988,7773.638619258312,-2192.843272709324,28.208711262661502,-4318.592148701126,-194.91080671126923,-1.992094336891241,0.0743608572840948,11,0.4461651437045688
A4-A2,A4,A2,panel2_common_period,lightgbm,all_features,2,5770.985767255184,5414.767475862132,356.2182913930519,-6.578644290470391,-2268.412216395118,2520.084045533981,0.2082875658839686,0.8409352159343313,8,0.9775297036541042
A4-A2,A4,A2,panel2_common_period,lightgbm,all_features,4,3537.4326508062786,6224.177308138545,-2686.744657332267,43.16626156872429,-5474.518594776869,80.27222421822091,-1.0273190947494144,0.3384542195448863,8,0.9775297036541042
A4-A2,A4,A2,panel2_common_period,lstm,all_features,1,6243.042329545464,5017.347727272736,1225.694602272728,-24.429134054437466,-1183.271750710227,3989.327112926136,0.8540811198204642,0.4130520500906531,11,0.9775297036541042
A4-A2,A4,A2,panel2_common_period,lstm,all_features,2,6997.874804687519,4986.608203125019,2011.2666015625,-40.333359262154886,368.12045898437503,3520.025390625,1.5272143986192503,0.1705464036426074,8,0.7674588163917334
A4-A2,A4,A2,panel2_common_period,lstm,all_features,4,8511.257617187503,5828.448046875004,2682.809570312498,-46.02956994273836,-1873.5097656250005,7191.524243164062,0.4419656787228386,0.6718459250311932,8,0.9775297036541042
A4-A2,A4,A2,panel2_common_period,random_forest,all_features,1,4690.139974458237,5059.114246501386,-368.9742720431496,7.293258346524048,-938.6232245854158,189.30210602555783,-1.2531179124455878,0.2386707406946353,11,0.9775297036541042
A4-A2,A4,A2,panel2_common_period,random_forest,all_features,2,5379.135680908536,5543.444353561967,-164.30867265343113,2.964017714868082,-1171.3373831219135,757.9599512517417,-0.2811292146319333,0.7867396652086676,8,0.9775297036541042
