model,weighted_mae,weighted_mase,worst_horizon_mase,stability_score,error_std,worst_fold_error,mae_h1,rmse_h1,mape_h1,smape_h1,mase_h1,r2_h1,mae_h2,rmse_h2,mape_h2,smape_h2,mase_h2,r2_h2,mae_h4,rmse_h4,mape_h4,smape_h4,mase_h4,r2_h4,configuration,panel,fs_option,n_features,n_folds,total_runtime_seconds
ridge,6079.641231147357,0.8393501161305349,0.9947351065967158,0.00063970233955343,1562.2270482207246,8610.849444051244,7020.546106557269,8433.836490291342,6.727948940503024,6.71402151862809,0.9947351065967158,-0.14762623693654597,4254.897314766353,5660.982473707118,4.185075971314984,4.1748484222077895,0.5739766781464337,0.46196324317409365,6464.494917194084,7193.709386740903,6.43838961236338,6.266470998566807,0.8489477969412346,0.3106401197428482,A3,panel2_common_period,all_features,23,7,0.0052530765533447266
random_forest,4966.636262069298,0.6833291103349668,0.7167716180286967,0.0008900788389625675,1122.4959828564752,6613.669928872074,4899.701847211036,5361.067531474035,4.8251286921699466,4.7264425311356355,0.6942345175577314,0.5362833706316127,5313.438244041283,6525.795609063025,5.06503741670612,5.1569816288444255,0.7167716180286967,0.28501774993155604,4613.769326256979,5865.964045055725,4.635735363289485,4.481951276929709,0.605901830737461,0.5416270088381815,A3,panel2_common_period,all_features,23,7,1.181100845336914
lightgbm,3318.3377219275867,0.4541120170628795,0.5751086612925513,0.0006203969192001748,1610.8713182670463,5801.0796384206815,2655.6686873421963,4838.08611824171,2.6740638491565862,2.5634686472594854,0.37627939973523356,0.6223432044991228,4263.28872199971,5670.185795583172,4.099175478394658,4.174133975404522,0.5751086612925513,0.4602123984745562,3557.5838082828777,4123.110948412113,3.4321191846266403,3.4581831356187274,0.46719859403748687,0.7735406434509119,A3,panel2_common_period,all_features,23,7,0.12115836143493652
catboost,4521.14574928212,0.6228073310154414,0.6673200276778489,0.0008136042597048482,1228.0987763052897,6703.112539319108,4709.747339842081,5455.449665915479,4.582369825986839,4.523347329864385,0.6673200276778489,0.5198120904644817,4349.3270158585765,5278.325312604172,4.14972951190691,4.203088054571637,0.5867150457594842,0.5322426378925207,4307.369873017531,4944.876723334457,4.2909841425742306,4.1906678112773,0.5656640172433586,0.6742749462975679,A3,panel2_common_period,all_features,23,7,12.278998613357544
lstm,7408.380142045427,1.0179928029700325,1.077356420780723,0.0010742985752597582,929.8399201387814,8660.333854166625,7209.4830965908795,8177.856997278918,7.065089812185543,6.926478129002311,1.021505425325284,-0.0790191154462847,7209.6210937499745,8448.002858135602,7.264530791617957,7.013081887588495,0.9725626871708196,-0.19821962886765498,8203.761328124976,8892.709388283916,7.999969562382169,7.90790916649273,1.077356420780723,-0.05343665564750677,A3,panel2_common_period,all_features,23,7,3.6893818378448486
ridge,5122.823491299113,0.705983112183878,0.7917453870817062,0.0009310217239681016,1073.0887932645724,7101.214691288857,5587.904717345684,6716.538469246301,5.362948043946309,5.316226325869631,0.7917453870817062,0.27215127148058615,3985.3499677983327,5249.456264653491,3.9316931902110666,3.915302312228455,0.5376153092647539,0.5373453098995066,5666.330711433855,6225.416326392553,5.597673989217046,5.489003063917078,0.7441291293179937,0.48372983643760936,A4,panel2_common_period,all_features,37,7,0.0060422420501708984
random_forest,5095.57859211728,0.6992468508403702,0.7464284659690179,0.0008647003624523431,1155.4699674277213,7342.113683828575,4690.139974458198,5477.333867979754,4.4997080089242445,4.477394991594245,0.6645418770327017,0.5159518746998801,5379.135680908554,7204.7890122272065,5.119622611793048,5.254211033201761,0.7256340637673859,0.1284930393444963,5683.839503078076,5981.0399581740285,5.592431105434096,5.492281897927997,0.7464284659690179,0.523466283460046,A4,panel2_common_period,all_features,37,7,1.3838331699371338
lightgbm,5229.179933612306,0.7218276274534372,0.7907380664815777,0.00040457670492269375,2470.719176691301,9599.020555147268,5580.795346548988,7574.971787147506,5.337992575748991,5.3031226995628655,0.7907380664815777,0.07421070663355422,5770.985767255184,8989.8617868181,5.430658456518167,5.73092453306474,0.7784938143686723,-0.3568578611510378,3537.4326508062786,4186.121607163084,3.4608106679086377,3.4421005328634435,0.4645522495102334,0.7665661100199151,A4,panel2_common_period,all_features,37,7,0.16766667366027832
catboost,4449.426928077003,0.6147095126058257,0.7189085281744806,0.0011039700562664558,904.8216700024684,5777.9703496607035,5073.843714749245,6119.326050673171,4.900016836783174,4.815194030731932,0.7189085281744806,0.39583257937148575,3821.140777499151,5022.538006469906,3.7221571949285868,3.701659915792252,0.515463835657637,0.5764791562332694,3830.814187263177,4081.364237560963,3.714756533100533,3.6901066211802704,0.5030804891064716,0.7781032529049106,A4,panel2_common_period,all_features,37,7,9.77440333366394
lstm,6923.1351296164885,0.9490328573272203,1.1177382759002792,0.0003855872392175859,2592.446821604235,11002.403124999983,6243.042329545464,7699.602019794115,5.914116268665982,6.022228477539078,0.8845712688031269,0.04349626520490568,6997.874804687519,8478.922725392662,7.150811659759046,6.797927981932837,0.9439985591520036,-0.20700669775706437,8511.257617187504,10429.560793129565,7.979708813896008,8.298152070595696,1.1177382759002792,-0.4490129476869533,A4,panel2_common_period,all_features,37,7,1.1365325450897217
