2026-08-23 21:01:37 | INFO     | co2_forecast | PSO complete. Best fitness: 0.371169
2026-08-23 21:01:37 | INFO     | co2_forecast |   Best params: {'n_estimators': 55, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1}
2026-08-23 21:01:37 | INFO     | co2_forecast |   Best fitness: 0.371169
2026-08-23 21:01:37 | INFO     | co2_forecast | [A1/panel2_common_period/all_features/random_forest] sweep tuning: best_params={'n_estimators': 55, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1}
2026-08-23 21:01:37 | INFO     | co2_forecast |   -> weighted_mase=0.6674802736436459, runtime=33.4s
2026-08-23 21:01:37 | INFO     | co2_forecast | Stream A cell: A1/catboost (5 features, 28 rows)
2026-08-23 21:01:37 | INFO     | co2_forecast | Creating walk-forward splits for 16 valid samples
2026-08-23 21:01:37 | INFO     | co2_forecast | Created 4 CV folds across horizons [1, 2, 4]
2026-08-23 21:01:37 | INFO     | co2_forecast | Built tuning CV plan: 4 folds from 16 rows before 2022-Q%q (evaluation cutoff) - isolation OK (max tuning date 2021-Q%q)
2026-08-23 21:01:37 | INFO     | co2_forecast | Optimizing catboost...
2026-08-23 21:01:37 | INFO     | co2_forecast | Starting PSO: 8 particles, 10 iterations
2026-08-23 21:02:13 | INFO     | co2_forecast |   Iteration 0: Best fitness = 0.285983
2026-08-23 21:05:29 | INFO     | co2_forecast |   Iteration 5: Best fitness = 0.271025
2026-08-23 21:07:54 | INFO     | co2_forecast |   Iteration 9: Best fitness = 0.269635
2026-08-23 21:07:54 | INFO     | co2_forecast | PSO complete. Best fitness: 0.269635
2026-08-23 21:07:54 | INFO     | co2_forecast |   Best params: {'iterations': 209, 'learning_rate': 0.18532845715998747, 'depth': 3, 'l2_leaf_reg': 10.0}
2026-08-23 21:07:54 | INFO     | co2_forecast |   Best fitness: 0.269635
2026-08-23 21:07:54 | INFO     | co2_forecast | [A1/panel2_common_period/all_features/catboost] sweep tuning: best_params={'iterations': 209, 'learning_rate': 0.18532845715998747, 'depth': 3, 'l2_leaf_reg': 10.0}
2026-08-23 21:08:02 | INFO     | co2_forecast |   -> weighted_mase=0.5635493014196867, runtime=384.7s
2026-08-23 21:08:02 | INFO     | co2_forecast | Stream A cell: A1/lightgbm (5 features, 28 rows)
2026-08-23 21:08:02 | INFO     | co2_forecast | Creating walk-forward splits for 16 valid samples
2026-08-23 21:08:02 | INFO     | co2_forecast | Created 4 CV folds across horizons [1, 2, 4]
2026-08-23 21:08:02 | INFO     | co2_forecast | Built tuning CV plan: 4 folds from 16 rows before 2022-Q%q (evaluation cutoff) - isolation OK (max tuning date 2021-Q%q)
2026-08-23 21:08:02 | INFO     | co2_forecast | Optimizing lightgbm...
2026-08-23 21:08:02 | INFO     | co2_forecast | Starting PSO: 8 particles, 10 iterations
2026-08-23 21:08:02 | WARNING  | co2_forecast | LightGBM has no GPU-enabled build installed; using CPU. The pip wheel ships CPU-only - install a CUDA/OpenCL build (e.g. build from source with -DUSE_CUDA=1, or a conda-forge lightgbm=*=cuda* package) to enable GPU training.
2026-08-23 21:08:02 | INFO     | co2_forecast |   Iteration 0: Best fitness = 0.768990
2026-08-23 21:08:03 | INFO     | co2_forecast |   Iteration 5: Best fitness = 0.655353
2026-08-23 21:08:03 | INFO     | co2_forecast |   Iteration 9: Best fitness = 0.644572
2026-08-23 21:08:03 | INFO     | co2_forecast | PSO complete. Best fitness: 0.644572
2026-08-23 21:08:03 | INFO     | co2_forecast |   Best params: {'n_estimators': 50, 'learning_rate': 0.24875557248327107, 'num_leaves': 127, 'max_depth': 3, 'min_child_samples': 5, 'reg_alpha': 0.09419715994303156, 'reg_lambda': 1.6116769810147058}
2026-08-23 21:08:03 | INFO     | co2_forecast |   Best fitness: 0.644572
2026-08-23 21:08:03 | INFO     | co2_forecast | [A1/panel2_common_period/all_features/lightgbm] sweep tuning: best_params={'n_estimators': 50, 'learning_rate': 0.24875557248327107, 'num_leaves': 127, 'max_depth': 3, 'min_child_samples': 5, 'reg_alpha': 0.09419715994303156, 'reg_lambda': 1.6116769810147058}
2026-08-23 21:08:03 | INFO     | co2_forecast |   -> weighted_mase=0.6215013381316965, runtime=1.1s
2026-08-23 21:08:03 | INFO     | co2_forecast | Stream A cell: A1/lstm (5 features, 28 rows)
2026-08-23 21:08:03 | INFO     | co2_forecast | Creating walk-forward splits for 16 valid samples
2026-08-23 21:08:03 | INFO     | co2_forecast | Created 4 CV folds across horizons [1, 2, 4]
2026-08-23 21:08:03 | INFO     | co2_forecast | Built tuning CV plan: 4 folds from 16 rows before 2022-Q%q (evaluation cutoff) - isolation OK (max tuning date 2021-Q%q)
2026-08-23 21:08:03 | INFO     | co2_forecast | Optimizing lstm...
2026-08-23 21:08:03 | INFO     | co2_forecast | Starting PSO: 8 particles, 10 iterations
2026-08-23 21:08:03 | WARNING  | co2_forecast | Model training failed with params {'lookback': 7, 'hidden_size': 62, 'num_layers': 2, 'dropout': 0.3394633936788146, 'learning_rate': 0.0016445845403801217, 'batch_size': 8}: LSTM.fit: training data has 8 rows, giving only 1 sequence(s) with lookback=7; at least 2 are required (one is always reserved for validation). Reduce lookback or provide more training history.
2026-08-23 21:08:03 | WARNING  | co2_forecast | Model training failed with params {'lookback': 11, 'hidden_size': 26, 'num_layers': 1, 'dropout': 0.17336180394137352, 'learning_rate': 0.0031119982052994237, 'batch_size': 16}: LSTM.fit: training data has 8 rows, giving only 0 sequence(s) with lookback=11; at least 2 are required (one is always reserved for validation). Reduce lookback or provide more training history.
2026-08-23 21:08:03 | WARNING  | co2_forecast | Model training failed with params {'lookback': 8, 'hidden_size': 54, 'num_layers': 1, 'dropout': 0.3056937753654446, 'learning_rate': 0.005964904231734221, 'batch_size': 8}: LSTM.fit: training data has 8 rows, giving only 0 sequence(s) with lookback=8; at least 2 are required (one is always reserved for validation). Reduce lookback or provide more training history.
2026-08-23 21:08:03 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-08-23 21:08:05 | WARNING  | co2_forecast | Very few sequences (6), LSTM may not train well
2026-08-23 21:08:05 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-08-23 21:08:05 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-08-23 21:08:05 | WARNING  | co2_forecast | Model training failed with params {'lookback': 8, 'hidden_size': 25, 'num_layers': 2, 'dropout': 0.4100531293444458, 'learning_rate': 0.009401039521485473, 'batch_size': 32}: LSTM.fit: training data has 8 rows, giving only 0 sequence(s) with lookback=8; at least 2 are required (one is always reserved for validation). Reduce lookback or provide more training history.
