model,weighted_mae,weighted_mase,worst_horizon_mase,stability_score,error_std,worst_fold_error,mae_h1,rmse_h1,mape_h1,smape_h1,mase_h1,r2_h1,mae_h2,rmse_h2,mape_h2,smape_h2,mase_h2,r2_h2,mae_h4,rmse_h4,mape_h4,smape_h4,mase_h4,r2_h4,configuration,panel,fs_option,n_features,n_folds,total_runtime_seconds,variant
lightgbm,5298.581673241867,0.7315712475949394,0.8201864811974877,0.0006210003265664238,1609.3051113179044,8753.772497255291,5788.633545791195,7649.875454928104,5.747982987291849,5.465431522627657,0.8201864811974877,0.055811201496755225,5353.427782524186,6134.878630918743,5.203156044026644,5.1787381297167,0.7221661224693487,0.36811175516366845,3991.182827945071,4825.407460111452,4.0149214089135,3.9078112171803445,0.5241408512769548,0.6898239872605247,A3_CI_highshare_only,panel2_common_period,all_features,12,7,0.154266357421875,A3_CI_highshare_only
lstm,7386.851475497139,1.0149838953766364,1.0785377017651423,0.0011409988286758524,875.4250890253027,8349.84687499996,7180.531818181803,8273.35270841125,7.088977725348087,6.897778025485968,1.0174033437240442,-0.10436642216837977,7180.1142578124745,8357.058881758108,7.23133384297905,6.985241091005678,0.968582277205286,-0.17256047228423044,8212.756445312476,8941.305816920894,8.0504369702063,7.9161897169149755,1.0785377017651423,-0.06498164968380848,A3_CI_highshare_only,panel2_common_period,all_features,12,7,0.9819631576538086,A3_CI_highshare_only
ridge,6540.381807108648,0.9012305389668682,1.0032420741179815,0.000878754408458537,1136.9743764291838,8092.5831588975925,7080.585766677804,8273.105298914687,7.025585897548763,6.799249975486175,1.0032420741179815,-0.10430037236613865,5246.23089708917,6692.411403262255,5.2829320212658555,5.142270940899964,0.7077054886025564,0.24804199563361906,7131.098273214975,7743.758848766556,7.078319655991486,6.896748128489014,0.9364892766355527,0.20118931342916802,A3_CI_lowshare_only,panel2_common_period,all_features,12,7,0.0024611949920654297,A3_CI_lowshare_only
random_forest,5554.050240362111,0.7671154799648534,0.8631451264031771,0.0007838509366060183,1274.7527653534248,7012.996228451084,6091.822955053744,7126.245327740804,5.9601372833915605,5.7357911051965065,0.8631451264031771,0.18064585866070315,5748.691375458142,7473.991421782623,5.673557987611894,5.4783682764070525,0.7754863479133591,0.062149712975408056,3917.656750988979,4363.545793615461,3.830628911696395,3.775936417963481,0.5144850619462858,0.7463590901295679,A3_CI_lowshare_only,panel2_common_period,all_features,12,7,0.3241899013519287,A3_CI_lowshare_only
catboost,4446.290113666253,0.613742756251223,0.7205509821359105,0.0006579002677723915,1518.987221446096,5970.371194967389,5085.435668916387,6425.267846428825,4.988122116724381,4.801520681294668,0.7205509821359105,0.3339104998646626,3247.530681133325,4095.475482011697,3.2152700982301363,3.1460641665794356,0.4380850428673361,0.7183971886604077,4646.565374340309,5453.962051006302,4.649870878910765,4.53198691806892,0.6102087616153348,0.6037544026568469,A3_CI_lowshare_only,panel2_common_period,all_features,12,7,0.09911012649536133,A3_CI_lowshare_only
lightgbm,5322.810215983975,0.7342984231448364,0.796953237242508,0.0005763440218699218,1734.0748199930065,7632.720004477371,5586.225601481337,7638.644117503794,5.4809804787982435,5.236619984412987,0.7915074746069559,0.05858163048749976,5907.82573272497,7110.059892512301,5.796078679767833,5.724933110580935,0.796953237242508,0.1512596612691688,3786.7484771290783,5981.6139754035685,3.816761650712544,3.9297757676139793,0.49729357334303076,0.523374810508253,A3_CI_lowshare_only,panel2_common_period,all_features,12,7,0.34592509269714355,A3_CI_lowshare_only
lstm,7395.802682883503,1.0162784875105908,1.0827734360343204,0.0011468992720136198,870.916152012454,8462.00312499996,7212.96860795453,8248.601748280165,7.104003424748013,6.928373637018048,1.0219992844161923,-0.0977685547260514,7134.3876953124745,8442.043793522973,7.2147017360386645,6.9430739031480515,0.962413860318768,-0.19652982122862017,8245.010351562476,8958.509254923187,8.056875698103868,7.946722767883532,1.0827734360343204,-0.06908372865720236,A3_CI_lowshare_only,panel2_common_period,all_features,12,7,1.0311708450317383,A3_CI_lowshare_only
ridge,6175.093975714508,0.8511949739095892,0.966720959298733,0.0007013860262527368,1424.7483932815921,7979.41792109915,6822.830542446682,7872.7219099013255,6.667106181945082,6.551286562007132,0.966720959298733,1.458690643829641e-07,4566.6267472770505,6060.578998148591,4.577681282095125,4.481003836782744,0.6160283214450896,0.3833246931335689,6968.453401540259,7701.732467627823,6.885171411847711,6.73147660542503,0.9151299891334793,0.20983628336021798,A3_CI_all,panel2_common_period,all_features,16,7,0.0026090145111083984,A3_CI_all
random_forest,4928.791268620727,0.6803297957603729,0.7614845715917568,0.0006743084282457556,1482.000891152356,6090.645598600346,5374.3328337755365,6285.401645268325,5.286784806629168,5.11051723381398,0.7614845715917568,0.36259394548879664,4857.287286761692,6014.3176942814125,4.804351716220161,4.67805876468566,0.6552378154892028,0.39270311184532825,3922.193328522255,5360.639404322302,3.925410342381857,3.789446307904369,0.5150808265886686,0.6171986902063521,A3_CI_all,panel2_common_period,all_features,16,7,0.302767276763916,A3_CI_all
catboost,4576.5536248872195,0.6315534455777275,0.70336578248974,0.0009412252021226082,1061.4449895145663,5531.720786792638,4964.14761376861,5353.653032304097,4.84627407195473,4.761209099450783,0.70336578248974,0.5375651485476398,4490.501730010628,5697.222226940274,4.359075015090035,4.2628111323971805,0.6057592170926099,0.45505252394422535,3736.646494998631,4216.384892060281,3.695855396470929,3.6340081685701837,0.49071394602537266,0.7631787204211823,A3_CI_all,panel2_common_period,all_features,16,7,0.03308391571044922,A3_CI_all
lightgbm,4788.605901247366,0.6628107013701422,0.7727749258135207,0.0005183249166384759,1928.291777993929,8309.115960223144,5454.016813809622,7188.102734432724,5.320827250856596,5.07805732430967,0.7727749258135207,0.166359768178156,5302.980623693973,5915.505182765802,5.288290998708672,5.273317009807228,0.715360907089226,0.41249440898318623,2353.5165361718136,3106.673227023104,2.2335597393832023,2.2644801317358176,0.30907483168307054,0.8714324477037151,A3_CI_all,panel2_common_period,all_features,16,7,0.16832518577575684,A3_CI_all
lstm,7458.548394886337,1.0249985002842135,1.0621063410478748,0.0011428955741499582,873.9705770308557,8752.302604166625,7255.164914772698,8089.999334145819,7.098150321422623,6.9693088796088505,1.027978042638655,-0.05595907363038877,7378.1289062499745,8296.829481356115,7.386032784429489,7.17372391080104,0.9952940358510364,-0.15572006796001703,8087.636328124976,8689.340265996532,7.84189244078756,7.796484270594864,1.0621063410478748,-0.005805102522532302,A3_CI_all,panel2_common_period,all_features,16,7,0.1463451385498047,A3_CI_all
