horizon,fold_id,target_date,actual,predicted,error,abs_error,seasonal_naive_error,abs_seasonal_naive_error,grid_advantage_abs_error_reduction,Grid_CI_std,Grid_CI_mean,Grid_CI_p90,top1_shap_feature,top1_shap_abs_value,top2_shap_feature,top2_shap_abs_value,top3_shap_feature,top3_shap_abs_value
1,1,2023-10-01,106259.39999999992,107568.24680106468,1308.846801064763,1308.846801064763,-3447.5,3447.5,2138.653198935237,73.75054973395697,140.80878612716762,246.0,Grid_CI_std,0.062457048386977056,GDP,0.023185193184374408,Grid_CI_mean,0.018719260521459245
2,4,2023-10-01,106259.39999999992,103598.3282237394,-2661.07177626052,2661.07177626052,11246.899999999863,11246.899999999863,8585.828223739343,73.75054973395697,140.80878612716762,246.0,Grid_CI_std,0.062457048386977056,GDP,0.023185193184374408,Grid_CI_mean,0.018719260521459245
2,4,2024-01-01,114491.90000000008,101129.13193703076,-13362.76806296932,13362.76806296932,21776.40000000008,21776.40000000008,8413.631937030761,64.13184289353809,142.67971611721612,236.0,Grid_CI_std,0.06493970622516587,Grid_CI_mean,0.019066292074745337,Air_Temp,0.014662263989684596
4,5,2024-01-01,114491.90000000008,112744.4255388976,-1747.4744611024798,1747.4744611024798,4785.00000000016,4785.00000000016,3037.5255388976802,64.13184289353809,142.67971611721612,236.0,Grid_CI_std,0.06493970622516587,Grid_CI_mean,0.019066292074745337,Air_Temp,0.014662263989684596
1,1,2024-01-01,114491.90000000008,113787.18881990825,-704.7111800918356,704.7111800918356,19479.400000000023,19479.400000000023,18774.688819908188,64.13184289353809,142.67971611721612,236.0,Grid_CI_std,0.06493970622516587,Grid_CI_mean,0.019066292074745337,Air_Temp,0.014662263989684596
4,6,2024-04-01,98590.0,98885.76118511683,295.7611851168331,295.7611851168331,-15901.900000000081,15901.900000000081,15606.138814883248,47.997530256969085,105.69103066635924,175.0,Grid_CI_std,0.06575279257408184,Grid_CI_mean,0.02889270296264254,COVID_Deaths,0.019363183085294968
1,1,2024-04-01,98590.0,102827.35145154769,4237.351451547685,4237.351451547685,3577.499999999942,3577.499999999942,-659.8514515477436,47.997530256969085,105.69103066635924,175.0,Grid_CI_std,0.06575279257408184,Grid_CI_mean,0.02889270296264254,COVID_Deaths,0.019363183085294968
2,4,2024-04-01,98590.0,97216.71550398727,-1373.2844960127259,1373.2844960127259,5874.5,5874.5,4501.215503987274,47.997530256969085,105.69103066635924,175.0,Grid_CI_std,0.06575279257408184,Grid_CI_mean,0.02889270296264254,COVID_Deaths,0.019363183085294968
1,2,2024-07-01,95843.10000000003,110777.85766275456,14934.75766275452,14934.75766275452,-10416.299999999886,10416.299999999886,-4518.457662754634,46.975527462060136,106.69429347826087,176.0,Grid_CI_std,0.06575279257408184,Grid_CI_mean,0.02630187046726484,COVID_Deaths,0.018045641580384637
4,6,2024-07-01,95843.10000000003,97744.36565147965,1901.2656514796108,1901.2656514796108,-18648.800000000047,18648.800000000047,16747.534348520436,46.975527462060136,106.69429347826087,176.0,Grid_CI_std,0.06575279257408184,Grid_CI_mean,0.02630187046726484,COVID_Deaths,0.018045641580384637
2,4,2024-07-01,95843.10000000003,91995.72142963958,-3847.3785703604517,3847.3785703604517,3127.600000000035,3127.600000000035,-719.7785703604168,46.975527462060136,106.69429347826087,176.0,Grid_CI_std,0.06575279257408184,Grid_CI_mean,0.02630187046726484,COVID_Deaths,0.018045641580384637
4,6,2024-10-01,111622.30000000002,118640.7305490804,7018.430549080382,7018.430549080382,-2869.600000000064,2869.600000000064,-4148.830549080318,65.47247468857726,145.25430253623188,239.0,Grid_CI_std,0.06472783241131315,Grid_CI_mean,0.01591574252383402,Population,0.014787610510808704
1,2,2024-10-01,111622.30000000002,110713.1478839466,-909.1521160534176,909.1521160534176,-2869.600000000064,2869.600000000064,1960.4478839466465,65.47247468857726,145.25430253623188,239.0,Grid_CI_std,0.06472783241131315,Grid_CI_mean,0.01591574252383402,Population,0.014787610510808704
1,2,2025-01-01,115136.6999999999,113577.3708635458,-1559.3291364540928,1559.3291364540928,16546.699999999895,16546.699999999895,14987.370863545802,61.13839846041053,154.26944444444445,234.0,Grid_CI_std,0.07055789611783708,Grid_CI_mean,0.017587389273855843,Grid_CI_p90,0.015839173004353974
4,6,2025-01-01,115136.6999999999,112072.78013258376,-3063.9198674161307,3063.9198674161307,644.7999999998137,644.7999999998137,-2419.119867416317,61.13839846041053,154.26944444444445,234.0,Grid_CI_std,0.07055789611783708,Grid_CI_mean,0.017587389273855843,Grid_CI_p90,0.015839173004353974
