model,weighted_mae,weighted_mase,worst_horizon_mase,stability_score,error_std,worst_fold_error,mae_h1,rmse_h1,mape_h1,smape_h1,mase_h1,r2_h1,mae_h2,rmse_h2,mape_h2,smape_h2,mase_h2,r2_h2,mae_h4,rmse_h4,mape_h4,smape_h4,mase_h4,r2_h4,configuration,panel,fs_option,n_features,n_folds,total_runtime_seconds,variant
random_forest,5960.02421467948,0.8188572040095012,0.8658811231082634,0.0009690333283772681,1030.9562503330906,7447.60217665524,5764.610741433926,6266.866463659539,5.691468931207746,5.564192676286033,0.8167827108225933,0.3663477285235388,5863.437907966512,7637.745165531259,5.589444611827318,5.739808216483528,0.7909654132551729,0.020603261326142985,6593.437357862818,7320.843701232056,6.630831235789423,6.398731854295608,0.8658811231082634,0.2860587159935075,A3_no_CI,panel2_common_period,all_features,18,7,0.8228855133056641,A3_no_CI
catboost,5094.849015206928,0.6978506755306831,0.8926963073495425,0.0006099929886247655,1638.3631052293056,7273.040861635953,4542.361623150518,5432.968014742126,4.463668889895389,4.367555908506985,0.6436032902319638,0.5237615993177795,4880.475795852932,6600.009541365318,4.629074691515657,4.749484326714456,0.6583658964826425,0.26866315762797877,6797.627324378947,7736.763045266665,6.865580162876303,6.598341931479673,0.8926963073495425,0.20263197155619028,A3_no_CI,panel2_common_period,all_features,18,7,9.119618654251099,A3_no_CI
lightgbm,4842.713241491338,0.6642467073344742,0.7275811351953392,0.0005189627687976343,1925.9205039830952,7919.112975683929,4398.0862906587245,6400.151343308756,4.419302739259062,4.279469968589162,0.6231610431379015,0.3391078366190037,5118.685344414476,6558.782027766586,4.787734146896383,4.9721882406580304,0.6904998624215185,0.2777713349498866,5540.3224641881625,7609.761542551824,5.341793972632165,5.200806965518467,0.7275811351953392,0.22859522576047664,A3_no_CI,panel2_common_period,all_features,18,7,0.2619590759277344,A3_no_CI
lstm,7479.063247514177,1.0279250217180733,1.0702764296803158,0.0010500112199078276,951.3707757025513,9006.911979166625,7315.1159090908795,8046.339498385337,7.115174469899607,7.026796004505874,1.0364724471790618,-0.04459229984764024,7305.1181640624745,8223.555773511467,7.310167064216827,7.104325626747267,0.9854450406415978,-0.1353966539200817,8149.849218749976,8741.018056136314,7.8985817175304645,7.856432739273611,1.0702764296803158,-0.017804252328496695,A3_no_CI,panel2_common_period,all_features,18,7,2.230286121368408,A3_no_CI
ridge,6105.937639318807,0.8416075979633708,0.9566553377586661,0.0006495563416763061,1538.512334556393,8373.507401400566,6751.790363363261,7953.887229741818,6.548280930676014,6.480500696926339,0.9566553377586661,-0.02072552017220075,4438.547886587003,5993.172744236062,4.425158914782785,4.345840808783658,0.5987507531370303,0.3969658360843954,6992.390458305374,7734.390750745322,6.90291858541599,6.753018444316174,0.9182735157146437,0.20312088450039434,A3_no_genmix,panel2_common_period,all_features,18,7,0.005190610885620117,A3_no_genmix
random_forest,4828.810636611173,0.6668335338506368,0.7589493149664857,0.0006628030115819631,1507.7438990556527,6092.384849649719,5356.439742527791,6098.569712270235,5.269737186918395,5.131740932078563,0.7589493149664857,0.39992421802649614,4602.044309502837,6293.461277801597,4.576105177010922,4.406355652998017,0.6208060759266963,0.33502172901456595,3849.8873624821317,5149.899573127079,3.8235490104913326,3.7114509554081363,0.505585267946925,0.6467047923312579,A3_no_genmix,panel2_common_period,all_features,18,7,0.6721079349517822,A3_no_genmix
catboost,4548.965688822633,0.6273227174676145,0.6965885566014316,0.0006297895926763396,1586.8318912042077,7227.2310800933,4916.315958378254,5607.716570320148,4.7724049922243665,4.679935107720379,0.6965885566014316,0.4926329904741501,4154.78345016558,4927.767018521439,4.047557024333571,4.054325394639237,0.5604715288586867,0.5923113146843431,4221.863372919161,5081.307507252512,4.195723518648084,4.10245497815821,0.5544349025464635,0.6560532719268266,A3_no_genmix,panel2_common_period,all_features,18,7,8.349024534225464,A3_no_genmix
lightgbm,4593.616187210832,0.635962243611284,0.7460452093343752,0.0005497727242751966,1817.933453489111,7624.4692434774815,5265.366382440939,7142.195141534514,5.156136284000878,4.9155421096276495,0.7460452093343752,0.176974031420014,5056.828424044332,5831.575136096837,5.070723009064093,5.069137995627358,0.6821554942622193,0.42904737137483495,2219.4223438853187,2711.92994810162,2.0809361335528327,2.102531570969663,0.2914649533271531,0.9020290858387823,A3_no_genmix,panel2_common_period,all_features,18,7,0.04347944259643555,A3_no_genmix
lstm,7455.346415127814,1.0245652540035226,1.0682343563858954,0.0011240114669490056,888.6706389609886,8717.41718749996,7264.6009943181525,8116.063541680329,7.109576112044867,6.978131591329389,1.0293150325892995,-0.06277417247563366,7320.6201171874745,8367.878507668065,7.351005070984409,7.118519234010308,0.9875362214389792,-0.1755985933178501,8134.299414062476,8748.770685751175,7.908033896565611,7.841486137811374,1.0682343563858954,-0.019610485549971912,A3_no_genmix,panel2_common_period,all_features,18,7,2.941479444503784,A3_no_genmix
ridge,6175.093975714507,0.8511949739095892,0.9667209592987329,0.000701386026252737,1424.7483932815917,7979.41792109915,6822.830542446681,7872.7219099013255,6.667106181945082,6.551286562007129,0.9667209592987329,1.458690646050087e-07,4566.6267472770505,6060.578998148591,4.577681282095125,4.481003836782744,0.6160283214450896,0.3833246931335689,6968.4534015402605,7701.732467627825,6.885171411847713,6.731476605425033,0.9151299891334795,0.20983628336021765,A3_CI_only,panel2_common_period,all_features,16,7,0.005652666091918945,A3_CI_only
random_forest,4920.660799503405,0.679121467605586,0.7568301319255859,0.0006725475251350617,1485.8837704802777,6090.645598600731,5341.483175550104,6259.405895675963,5.252881988083522,5.077758201175837,0.7568301319255859,0.3678555289337957,4884.935153412896,6085.740055553853,4.836633034880439,4.704316611061015,0.65896745441685,0.37819369450100926,3922.1933285224186,5360.639404322544,3.9254103423820244,3.7894463079045244,0.5150808265886901,0.6171986902063176,A3_CI_only,panel2_common_period,all_features,16,7,0.6460189819335938,A3_CI_only
catboost,4272.652487326126,0.5890672491185793,0.6606389555819875,0.0006580132297502506,1518.7262832839253,6445.700918512278,4662.594309473319,5405.543591539515,4.555474848299887,4.445919324117982,0.6606389555819875,0.5285573573600603,3544.7976003201456,4402.233553371132,3.480776630098302,3.4668084419518532,0.47818572360657163,0.6746322644435581,4389.580262467116,5192.427025236277,4.33490556922639,4.238220579385302,0.5764602712280704,0.6408457337721771,A3_CI_only,panel2_common_period,all_features,16,7,5.819631814956665,A3_CI_only
lightgbm,4788.605901247365,0.6628107013701421,0.7727749258135205,0.0005183249166384759,1928.291777993929,8309.115960223144,5454.0168138096205,7188.102734432724,5.320827250856594,5.078057324309668,0.7727749258135205,0.166359768178156,5302.980623693973,5915.505182765802,5.288290998708672,5.2733170098072275,0.715360907089226,0.41249440898318623,2353.5165361718136,3106.673227023104,2.2335597393832023,2.2644801317358176,0.30907483168307054,0.8714324477037151,A3_CI_only,panel2_common_period,all_features,16,7,0.04478812217712402,A3_CI_only
lstm,7458.839401633495,1.0250387258569558,1.0621879059926247,0.0011418020730725369,874.8085342313716,8754.29999999996,7255.581107954516,8090.469419055452,7.098382040469351,6.969708346866736,1.0280370126906706,-0.05608179424557269,7377.9912109374745,8294.916799456047,7.385537989127861,7.173599145896234,0.9952754610436513,-0.15518726924153947,8088.257421874976,8689.98508497435,7.842498390990918,7.7970805501266325,1.0621879059926247,-0.005954385727587219,A3_CI_only,panel2_common_period,all_features,16,7,0.43642258644104004,A3_CI_only
ridge,6256.042457235675,0.8636647764896505,1.022020200528872,0.0007232358546583904,1381.6748128690813,7931.3009493531035,7213.11622769014,8385.66898244773,7.040675121388502,6.907519667606171,1.022020200528872,-0.13455497511200076,4395.651331288918,5966.517244476772,4.326757381435807,4.285114887749473,0.5929640982562012,0.40231806989636454,6653.944720019648,7378.275586715833,6.670283418765126,6.459190931583886,0.8738272337417702,0.27481306464076793,A3_genmix_only,panel2_common_period,all_features,16,7,0.004969120025634766,A3_genmix_only
random_forest,5816.880300495726,0.7984435456170614,0.8584747283161521,0.0010830134130309366,922.3495984148395,7461.043131530496,5427.662098568428,5975.957396007845,5.358379482169277,5.213942517050123,0.7690407490020772,0.4238108183128355,5985.470985615915,7753.343056245975,5.687725397275379,5.84337501057566,0.8074274181759747,-0.009267587423324342,6537.039777633689,7244.675746637277,6.551222833221007,6.325898862047223,0.8584747283161521,0.300837493025749,A3_genmix_only,panel2_common_period,all_features,16,7,0.9635891914367676,A3_genmix_only
catboost,5432.704974798733,0.7445923204453555,0.9307832569503668,0.0006964391465316449,1434.8756324657031,7148.374431866789,4946.661386393276,5773.031116700683,4.870347845100804,4.771941480243018,0.7008881740547023,0.4622778687013559,5139.4818962712325,6671.746001228075,4.901223283497655,5.016495092474129,0.6933052734264364,0.25267874654901257,7087.648563603623,8060.157320393952,7.149156676649265,6.855020077572139,0.9307832569503668,0.1345793307714972,A3_genmix_only,panel2_common_period,all_features,16,7,7.345187425613403,A3_genmix_only
lightgbm,5492.521408974083,0.751038719747958,1.0502988191550324,0.0004891150988785908,2043.5085467464216,8171.974930541281,4660.312033685666,6460.916636951901,4.664152432750124,4.532930087261175,0.6603155818993058,0.3264987755147748,5209.401025445055,6695.705433862081,4.900150955130067,5.096115899106186,0.7027372165576623,0.24730158022440119,7997.725422488664,9336.709668203328,7.813790682372043,7.807377045653823,1.0502988191550324,-0.1612559037309047,A3_genmix_only,panel2_common_period,all_features,16,7,0.2816801071166992,A3_genmix_only
lstm,8355.9261274858,1.1446299912796716,1.5379789540457403,0.00018917867847197066,5285.007958598587,17838.077734374987,7598.760653409088,10232.15128189145,7.0372932103451955,7.399251688033219,1.0766618257106606,-0.689211462232459,7380.972460937519,8683.971323424295,7.507414503815155,7.142682110297422,0.9956776253839777,-0.2660914816334563,11711.270312500004,15084.871520892564,10.862953302801227,11.793118431297813,1.5379789540457403,-2.0312618764312624,A3_genmix_only,panel2_common_period,all_features,16,7,1.0129435062408447,A3_genmix_only
